,,,"District-wise Wholesale Prices Monthly Analysis for Bajra(Pearl Millet/Cumbu) in Maharashtra - October, 2022",,
District,"Prices October, 2022 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)","Prices October, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2154.77,2186.11,1632.22,-1.4%,32.0%
Akola,2250.0,-,1550.0,-,45.2%
Amarawati,-,1950.0,-,-,-
Beed,2231.67,2241.96,1723.9,-0.5%,29.4%
Buldhana,2475.0,2250.33,1550.64,10.0%,59.6%
Chattrapati Sambhajinagar,2278.85,2200.65,1674.0,3.5%,36.1%
Dharashiv(Usmanabad),-,-,1737.5,-,-
Dhule,2050.23,2140.08,1695.11,-4.2%,20.9%
Jalana,2277.13,2266.33,1702.65,0.5%,33.7%
Jalgaon,2187.36,2177.95,1784.56,0.4%,22.6%
Mumbai,3000.0,3112.46,2219.97,-3.6%,35.1%
Nandurbar,2083.54,2116.27,1543.68,-1.6%,35.0%
Nashik,2097.37,2022.67,1602.93,3.7%,30.9%
Parbhani,2250.0,2550.0,1706.22,-11.8%,31.9%
Pune,2914.75,3087.18,2390.61,-5.6%,21.9%
Raigad,2075.58,2133.33,1639.22,-2.7%,26.6%
Sangli,2586.31,2577.31,2175.0,0.3%,18.9%
Satara,2450.0,2400.0,1829.04,2.1%,34.0%
Sholapur,2287.0,2047.69,1622.73,11.7%,40.9%
Thane,-,-,2400.0,-,-
Average,2332.33,2321.2,1798.95,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

