,,,"District-wise Wholesale Prices Monthly Analysis for Bajra(Pearl Millet/Cumbu) in Maharashtra - January, 2023",,
District,"Prices January, 2023 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2328.46,2271.03,1909.02,2.5%,22.0%
Beed,2510.75,2640.13,2060.79,-4.9%,21.8%
Buldhana,-,2575.0,1950.0,-,-
Chattrapati Sambhajinagar,2445.48,2487.03,2015.06,-1.7%,21.4%
Dharashiv(Usmanabad),-,-,1525.5,-,-
Dhule,2222.86,2122.55,1873.55,4.7%,18.6%
Jalana,2792.57,2621.25,2000.91,6.5%,39.6%
Jalgaon,2610.82,2481.8,1958.34,5.2%,33.3%
Mumbai,3300.54,3081.33,2400.0,7.1%,37.5%
Nandurbar,2591.08,2413.94,1962.35,7.3%,32.0%
Nashik,2464.91,2355.67,1932.13,4.6%,27.6%
Parbhani,2670.0,-,2064.2,-,29.4%
Pune,3229.01,3119.6,2885.59,3.5%,11.9%
Raigad,2406.25,2280.0,1700.0,5.5%,41.5%
Sangli,2813.12,2818.03,2355.88,-0.2%,19.4%
Satara,2800.0,-,2199.13,-,27.3%
Sholapur,2100.0,2500.0,2050.0,-16.0%,2.4%
Thane,2982.46,3250.0,2546.51,-8.2%,17.1%
Yavatmal,-,2800.0,-,-,-
Average,2641.77,2613.59,2077.16,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

