,,,"District-wise Wholesale Prices Monthly Analysis for Bajra(Pearl Millet/Cumbu) in Maharashtra - October, 2023",,
District,"Prices October, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2340.31,2346.18,2154.77,-0.2%,8.6%
Akola,2355.5,1800.0,2250.0,30.9%,4.7%
Amarawati,2100.0,2200.0,-,-4.5%,-
Beed,2369.66,2335.46,2231.67,1.5%,6.2%
Buldhana,2411.25,2337.2,2475.0,3.2%,-2.6%
Chattrapati Sambhajinagar,2307.95,2312.39,2278.85,-0.2%,1.3%
Dharashiv(Usmanabad),2875.0,-,-,-,-
Dhule,2163.75,2204.64,2050.23,-1.9%,5.5%
Jalana,2328.71,2345.99,2277.13,-0.7%,2.3%
Jalgaon,2271.54,2273.18,2187.36,-0.1%,3.9%
Mumbai,3800.0,3647.16,3000.0,4.2%,26.7%
Nandurbar,2126.24,2202.93,2083.54,-3.5%,2.0%
Nashik,2451.59,2438.6,2097.37,0.5%,16.9%
Parbhani,2324.07,2556.0,2250.0,-9.1%,3.3%
Pune,3333.5,3299.87,2914.75,1.0%,14.4%
Raigad,2407.35,2150.0,2075.58,12.0%,16.0%
Sangli,2770.29,2770.83,2586.31,-0.0%,7.1%
Satara,-,-,2450.0,-,-
Sholapur,2565.55,-,2287.0,-,12.2%
Thane,-,3250.0,-,-,-
Vashim,2211.67,2371.29,-,-6.7%,-
Yavatmal,2298.86,2307.14,-,-0.4%,-
Average,2490.64,2481.52,2332.33,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

