,,,"District-wise Wholesale Prices Monthly Analysis for Bajra(Pearl Millet/Cumbu) in Karnataka - January, 2021",,
District,"Prices January, 2021 (Rs./Quintal)","Prices December, 2020 (Rs./Quintal)","Prices January, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,1222.13,1198.52,1777.17,2.0%,-31.2%
Bangalore,1940.79,1848.52,2361.87,5.0%,-17.8%
Belgaum,1373.92,1324.67,1825.88,3.7%,-24.8%
Bellary,1278.21,1362.63,1832.55,-6.2%,-30.2%
Bidar,1138.1,1333.33,1709.64,-14.6%,-33.4%
Bijapur,-,1278.24,1791.86,-,-
Gadag,1193.47,1268.75,1799.18,-5.9%,-33.7%
Kalburgi,1322.27,1305.0,1901.35,1.3%,-30.5%
Koppal,1180.33,1232.98,1742.9,-4.3%,-32.3%
Raichur,1199.1,1377.99,1981.99,-13.0%,-39.5%
Average,1316.48,1353.06,1872.44,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

