,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - July, 2023",,
District,"Prices July, 2023 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,4093.75,3857.53,2478.65,6.1%,65.2%
Akola,2727.09,2405.66,1830.07,13.4%,49.0%
Amarawati,2345.04,1951.11,1587.5,20.2%,47.7%
Beed,3714.64,3235.68,2269.79,14.8%,63.7%
Buldhana,2772.57,2409.57,2017.73,15.1%,37.4%
Chattrapati Sambhajinagar,3621.5,3225.4,2316.67,12.3%,56.3%
Dharashiv(Usmanabad),4534.65,3992.82,2621.0,13.6%,73.0%
Dhule,2977.15,3077.04,2314.72,-3.2%,28.6%
Hingoli,2332.1,2759.55,1663.41,-15.5%,40.2%
Jalana,3579.67,3431.4,2366.15,4.3%,51.3%
Jalgaon,3039.49,2788.56,2220.6,9.0%,36.9%
Latur,4403.35,2916.31,2383.93,51.0%,84.7%
Mumbai,4800.0,4431.54,3453.46,8.3%,39.0%
Nagpur,-,3075.0,1350.0,-,-
Nanded,2437.32,1973.88,1814.34,23.5%,34.3%
Nandurbar,2978.33,2296.58,2204.08,29.7%,35.1%
Nashik,3573.93,3007.96,2025.95,18.8%,76.4%
Parbhani,3292.1,2700.21,2138.47,21.9%,54.0%
Pune,5112.61,4923.38,4310.84,3.8%,18.6%
Raigad,3644.94,3455.56,2035.42,5.5%,79.1%
Sangli,4754.4,4240.74,3208.26,12.1%,48.2%
Satara,4086.11,3652.44,2672.28,11.9%,52.9%
Sholapur,4498.86,4015.91,2740.44,12.0%,64.2%
Thane,4004.43,3852.24,3000.0,4.0%,33.5%
Vashim,2757.91,2283.29,1843.48,20.8%,49.6%
Yavatmal,2561.03,2276.96,1887.93,12.5%,35.6%
Average,3545.72,3162.94,2336.74,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

