,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - July, 2022",,
District,"Prices July, 2022 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2478.65,2295.87,2079.89,8.0%,19.2%
Akola,1830.07,1559.27,1136.23,17.4%,61.1%
Amarawati,1587.5,1508.92,1473.16,5.2%,7.8%
Beed,2269.79,2038.6,1539.75,11.3%,47.4%
Buldhana,2017.73,1696.19,1389.86,19.0%,45.2%
Chattrapati Sambhajinagar,2316.67,2063.64,1733.4,12.3%,33.6%
Dharashiv(Usmanabad),2621.0,2195.97,1586.04,19.4%,65.2%
Dhule,2314.72,2162.29,1702.42,7.0%,36.0%
Hingoli,1663.41,1555.85,1321.32,6.9%,25.9%
Jalana,2366.15,2161.17,1677.45,9.5%,41.1%
Jalgaon,2220.6,1971.59,1545.75,12.6%,43.7%
Latur,2383.93,2124.46,1508.97,12.2%,58.0%
Mumbai,3453.46,3500.0,3220.73,-1.3%,7.2%
Nagpur,1350.0,1925.0,970.0,-29.9%,39.2%
Nanded,1814.34,1660.12,1648.3,9.3%,10.1%
Nandurbar,2204.08,1936.73,1456.3,13.8%,51.4%
Nashik,2025.95,2181.54,1761.22,-7.1%,15.0%
Parbhani,2138.47,2036.85,1470.09,5.0%,45.5%
Pune,4310.84,4325.19,4407.79,-0.3%,-2.2%
Raigad,2035.42,2088.06,1981.66,-2.5%,2.7%
Sangli,3208.26,3236.5,3237.75,-0.9%,-0.9%
Satara,2672.28,2542.77,2725.0,5.1%,-1.9%
Sholapur,2740.44,2480.98,2122.14,10.5%,29.1%
Thane,3000.0,3000.0,3307.27,-,-9.3%
Vashim,1843.48,1790.43,1306.54,3.0%,41.1%
Wardha,-,1705.0,1121.82,-,-
Yavatmal,1887.93,1725.0,1713.02,9.4%,10.2%
Average,2336.74,2202.52,1894.22,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

