,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - April, 2023",,
District,"Prices April, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,3700.26,3890.43,2393.31,-4.9%,54.6%
Akola,-,3000.0,1787.5,-,-
Amarawati,-,-,1437.5,-,-
Beed,3030.57,3078.28,2148.4,-1.6%,41.1%
Buldhana,2547.6,2583.65,4854.22,-1.4%,-47.5%
Chattrapati Sambhajinagar,2750.5,3301.68,2144.11,-16.7%,28.3%
Dharashiv(Usmanabad),3553.38,3672.98,2130.37,-3.3%,66.8%
Dhule,3242.86,3473.48,2428.1,-6.6%,33.6%
Gadchiroli,2871.43,2865.0,2500.0,0.2%,14.9%
Hingoli,1937.33,1844.27,1545.0,5.0%,25.4%
Jalana,3339.91,3556.62,2189.26,-6.1%,52.6%
Jalgaon,2861.72,3496.09,2092.25,-18.1%,36.8%
Latur,498.08,3043.58,2366.59,-83.6%,-79.0%
Mumbai,4200.0,4069.14,3173.69,3.2%,32.3%
Nagpur,3361.54,2950.0,2127.0,13.9%,58.0%
Nanded,2333.05,3106.98,1948.23,-24.9%,19.8%
Nandurbar,3252.14,3752.07,2406.69,-13.3%,35.1%
Nashik,2613.75,2281.1,1943.95,14.6%,34.5%
Parbhani,2643.42,3271.81,2059.3,-19.2%,28.4%
Pune,4894.18,4851.22,3967.21,0.9%,23.4%
Raigad,3699.0,3684.33,2197.48,0.4%,68.3%
Sangli,3250.0,4064.77,3129.89,-20.0%,3.8%
Satara,3683.66,3693.68,2678.33,-0.3%,37.5%
Sholapur,3840.33,4000.3,2549.32,-4.0%,50.6%
Thane,3325.0,3439.19,-,-3.3%,-
Vashim,2450.5,1666.67,1469.27,47.0%,66.8%
Wardha,-,-,1895.0,-,-
Yavatmal,2558.28,-,1736.67,-,47.3%
Average,3057.54,3305.49,2344.39,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

