,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - July, 2025",,
District,"Prices July, 2025 (Rs./Quintal)","Prices June, 2025 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,3330.88,3249.92,3158.3,2.5%,5.5%
Akola,2354.23,2285.29,2298.09,3.0%,2.4%
Amarawati,2015.44,1993.16,2241.52,1.1%,-10.1%
Beed,2444.19,2367.69,2369.03,3.2%,3.2%
Buldhana,2209.13,2009.32,2264.03,9.9%,-2.4%
Chattrapati Sambhajinagar,2603.29,2478.78,2362.17,5.0%,10.2%
Dharashiv(Usmanabad),3006.09,2885.25,2818.13,4.2%,6.7%
Dhule,2296.31,2282.97,2331.61,0.6%,-1.5%
Hingoli,1993.72,2140.44,2024.83,-6.8%,-1.5%
Jalana,2598.39,2527.55,2566.07,2.8%,1.3%
Jalgaon,2732.7,2438.53,2559.45,12.1%,6.8%
Latur,2289.33,2966.85,2328.59,-22.8%,-1.7%
Mumbai,4700.0,4700.0,4100.0,-,14.6%
Nagpur,2084.3,2182.64,3364.67,-4.5%,-38.0%
Nanded,2209.22,2187.47,2179.02,1.0%,1.4%
Nandurbar,2251.81,1990.95,2407.35,13.1%,-6.5%
Nashik,2217.22,2347.14,2313.57,-5.5%,-4.2%
Parbhani,2483.56,2490.77,2365.67,-0.3%,5.0%
Pune,5604.9,5555.69,5262.1,0.9%,6.5%
Sangli,3904.42,3918.97,3440.46,-0.4%,13.5%
Satara,-,2921.77,3383.33,-,-
Sholapur,3197.74,3268.18,3355.89,-2.2%,-4.7%
Thane,3897.97,3992.7,4241.48,-2.4%,-8.1%
Vashim,2414.73,2831.33,2317.13,-14.7%,4.2%
Wardha,1794.09,1776.66,1894.57,1.0%,-5.3%
Yavatmal,1980.09,1966.31,2350.56,0.7%,-15.8%
Average,2744.55,2759.86,2780.68,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

