,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - October, 2023",,
District,"Prices October, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,4290.3,4733.51,2606.16,-9.4%,64.6%
Akola,2858.01,2751.48,2218.0,3.9%,28.9%
Amarawati,2491.68,2569.58,1950.0,-3.0%,27.8%
Beed,3848.62,3813.87,2697.69,0.9%,42.7%
Buldhana,2807.18,2834.31,2009.11,-1.0%,39.7%
Chattrapati Sambhajinagar,3765.05,3743.21,2804.82,0.6%,34.2%
Dharashiv(Usmanabad),4582.17,4859.64,2869.32,-5.7%,59.7%
Dhule,3163.79,3149.17,2545.17,0.5%,24.3%
Hingoli,2843.17,2832.22,2172.36,0.4%,30.9%
Jalana,3799.51,3662.62,2749.91,3.7%,38.2%
Jalgaon,3240.02,3363.15,2397.89,-3.7%,35.1%
Latur,4024.46,3902.41,2504.92,3.1%,60.7%
Mumbai,5000.0,4933.68,3600.0,1.3%,38.9%
Nagpur,-,3087.5,-,-,-
Nanded,2499.93,2488.27,1763.73,0.5%,41.7%
Nandurbar,2825.67,-,2120.54,-,33.2%
Nashik,3088.86,3414.5,2209.0,-9.5%,39.8%
Parbhani,3645.71,3473.19,3070.21,5.0%,18.7%
Pune,5989.17,5987.53,4444.66,-,34.8%
Raigad,4371.88,4385.37,2342.84,-0.3%,86.6%
Sangli,3465.0,3917.14,3080.91,-11.5%,12.5%
Satara,5375.0,4895.65,3000.0,9.8%,79.2%
Sholapur,4795.43,4785.02,3374.13,0.2%,42.1%
Thane,4250.0,4500.0,-,-5.6%,-
Vashim,2671.33,2710.05,1954.55,-1.4%,36.7%
Yavatmal,2642.97,2657.27,1890.0,-0.5%,39.8%
Average,3693.4,3738.01,2599.0,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

